Sr. No,RoadName,Description,Latitude,Longitude
218,Orchard Blvd,Bef Tomlinson Rd,1.303973792,103.8269965
219,Grange Rd,Grange Residences,1.30392,103.8233381
220,Grange Rd,Aft Cuscaden Rd,1.304199419,103.8235479
221,Napier Rd,British Council,1.305435,103.8217767
222,Napier Rd,Opp British Council,1.306089814,103.8212215
223,Tanglin Rd,Aft Tomlinson Rd,1.306026376,103.8256804
224,Orchard Rd,Delfi Orchard,1.307013533,103.8283551
225,Orchard Rd,Royal Thai Embassy,1.305879662,103.83049
226,Tomlinson Rd,The Regent S'pore,1.304886531,103.8254976
227,Scotts Rd,Royal Plaza On Scotts,1.307022384,103.8326552
228,Scotts Rd,Thong Teck Bldg,1.307838056,103.8330508
229,Scotts Rd,Far East Plaza,1.307319997,103.8331609
230,Bt Merah Ctrl,Bt Merah Int,1.282101559,103.8172248
231,New Bridge Rd,BEF NEIL RD,1.277738059,103.8374971
232,Eu Tong Sen St,Aft Hosp Dr,1.278320466,103.8376257
233,Eu Tong Sen St,Outram Pk Stn Exit F/SGH,1.279008197,103.8386036
234,Neil Rd,Blk 3,1.277448379,103.8383889
235,Kg Bahru Rd,BEF KAMPONG BAHRU TER,1.276058348,103.8351907
236,Kg Bahru Rd,OPP KAMPONG BAHRU TER,1.276233024,103.8348379
237,Jln Bt Merah,Blk 149,1.277411635,103.8321441
238,Jln Bt Merah,Opp Blk 149,1.277396642,103.8327518
239,Jln Bt Merah,Blk 140,1.278604722,103.8294864
240,Jln Bt Merah,Opp Blk 140,1.278554722,103.8300825
241,Jln Bt Merah,Blk 111,1.280453094,103.8263892
242,Jln Bt Merah,Blk 201,1.280395014,103.8270891
243,Jln Bt Merah,Opp Blk 120,1.282278354,103.8224174
244,Jln Bt Merah,Blk 119,1.282923322,103.8216566
245,Jln Bt Merah,Bt Merah Town Ctr,1.283941086,103.8178396
246,Jln Bt Merah,Opp Bt Merah Town Ctr,1.284209239,103.8176572
247,Jln Bt Merah,OPP BT MERAH SEC SCH,1.285061952,103.8137833
248,Jln Bt Merah,BT MERAH SEC SCH,1.285353157,103.8137053
249,Jln Bt Merah,Opp Blk 28,1.285928351,103.8093541
250,Jln Bt Merah,Opp Pacific Tech Ctr,1.28598009,103.8112252
251,Kim Tian Rd,Blk 126 CP,1.282599246,103.8289054
252,Kim Tian Rd,Blk 121,1.28232,103.8285719
253,Jln Bt Merah,Opp Blk 2,1.286191414,103.8068655
254,Jln Bt Merah,Blk 1,1.286351354,103.8081
255,Tiong Bahru Rd,Blk 18,1.285838471,103.8323818
256,Tiong Bahru Rd,Blk 1,1.286067975,103.8328338
257,Tiong Bahru Rd,Ctrl Green Condo,1.285720484,103.8285292
258,Tiong Bahru Rd,Opp Tiong Bahru Stn,1.285931354,103.8266897
259,Tiong Bahru Rd,Tiong Bahru Stn,1.285999614,103.8274812
260,Tiong Bahru Rd,Opp Tiong Bahru Pk,1.28736808,103.82346
261,Tiong Bahru Rd,Tiong Bahru Pk,1.287223333,103.8239583
262,Tiong Bahru Rd,BEF AR-RABITAH MQUE,1.288503994,103.8210974
263,Tiong Bahru Rd,Blk 104A CP,1.288588052,103.8218319
264,Tiong Bahru Rd,Blk 78,1.28860026,103.8190312
265,Tiong Bahru Rd,Delta Swim Cplx,1.288757233,103.8193662
266,Tiong Bahru Rd,Opp Redhill Stn,1.289281445,103.8166285
267,Tiong Bahru Rd,Redhill Stn,1.289546317,103.8167289
268,Leng Kee Rd,Porsche Ctr S'pore,1.290755,103.8114417
