Route,Minutes Operational,Frequency,Trips
502,1085,14.25,76
502A,128,5,26
506,1093,14.75,74
51,1439,10.25,140
513,726,1.75,415
518,1080,15,72
518A,119,7.5,16
51A,27,4.25,6
52,1095,10.5,104
529,0,12.5,0
53,1120,6.75,166
530,35,3.75,9
531,708,1,708
533,56,2.5,22
534,55,0,0
535,43,0,0
536,52,0,0
538,67,2.5,27
539,67,2.5,27
53A,105,0,0
53M,1042,5.5,189
54,1095,11.5,95
546,22,0,0
55,1120,10.25,109
552,60,0,0
553,59,0,0
55B,49,3.75,13
56,1110,11.5,97
560,52,1.25,42
561,29,0,0
563,45,0,0
564,34,1.25,27
565,28,0,0
569,53,0,0
57,1095,11,100
58,1110,10.5,106
585,52,2.5,21
587,73,0,0
588,41,0,0
589,43,0,0
58A,670,0,0
58B,680,0,0
59,1095,11.25,97
590,80,2.5,32
598,70,2.5,28
599,48,0,0
5N,0,10,0
6,831,7.25,115
60,1125,5.5,205
60A,206,5.25,39
61,1120,9,124
62,1110,14,79
62A,169,14,12
63,1439,8.25,174
63M,1175,10.75,109
64,1109,12.25,91
65,1110,9.25,120
653,751,2.5,300
655,708,3.75,189
656,749,2.5,300
657,733,3.75,195
66,1110,11.5,97
660,730,1.5,487
661,715,5,143
663,743,3.75,198
665,770,2,385
66A,0,0,0
66B,0,0,0
67,1110,7.5,148
67A,1082,19.25,56
67W,0,19.25,0
68,1109,15,74
69,1109,6.5,171
6N,0,7.5,0
7,1110,8.25,135
70,933,4.75,196
700,905,6,151
700A,314,11,29
70A,1439,3.75,384
70B,204,17.75,11
70M,344,14,25
71,1080,12.75,85
72,1125,4.25,265
72A,269,2.75,98
72B,207,1,207
73,1125,10.25,110
73A,1438,2.5,575
74,1110,5.75,193
74e,760,3.75,203
75,1115,9,124
75A,37,0,0
76,1110,11.25,99
761,56,2.5,22
77,1080,10.5,103
78,1204,7.5,161
78A,93,0.75,124
79,1056,9.25,114
79A,64,3.75,17
7A,1052,20.25,52
7B,1044,19.5,54
8,1110,5.25,211
80,1125,9.75,115
800,1196,5,239
803,1191,4.75,251
804,1211,4.75,255
805,1212,6.25,194
806,1202,3.5,343
807,1222,3.5,349
807A,198,2.5,79
80A,252,7,36
81,1107,9.25,120
811,1211,4,303
811A,198,3,66
812,1192,5.25,227
82,1210,14.75,82
825,878,9,98
83,1182,10.25,115
84,1222,10,122
85,1110,10.25,108
850E,763,1.25,610
851,1110,9,123
851e,1069,20,53
852,1120,11.75,95
853,1100,10.75,102
853C,0,11.5,0
854,1110,6,185
854e,101,3.75,27
855,1105,11.25,98
856,1112,5,222
856A,122,7.5,16
857,1110,5.5,202
857A,36,3,12
858,1136,5.25,216
858A,98,2.75,36
859,1095,9.5,115
859A,1185,9.5,125
859B,1186,9,132
85A,75,10,8
86,1125,8.5,132
860,1109,10,111
860A,197,1,197
868E,81,3.75,22
87,1110,3.75,296
88,1110,6.75,164
882,1120,13,86
882A,125,5,25
883,1181,7.5,157
883B,129,5.5,23
88A,362,3.75,97
88B,75,2.75,27
89,1110,9.25,120
89A,123,6.5,19
89e,765,2.75,278
9,1110,7.5,148
90,1080,13.75,79
900,1188,6.25,190
900A,146,5,29
901,1190,6,198
902,158,1.25,126
903,1205,6,201
903M,150,11.25,13
904,1206,9.5,127
90A,198,7.5,26
91,842,9,94
911,1200,3.25,369
912,1197,21.25,56
912A,1192,6,199
912B,1210,5.25,230
912M,795,10,80
913,1200,2.5,480
913M,1063,16.25,65
92,875,7.5,117
920,1218,5.5,221
922,1218,6.25,195
925,899,9,100
925C,0,10.75,0
926,0,2.5,0
927,1080,12.75,85
92A,297,6.25,48
92B,896,6.25,143
92M,0,8.75,0
93,1125,12,94
94,857,11.5,75
941,1195,6.25,191
944,1190,13,92
945,1198,6.25,192
947,1187,6.25,190
94A,49,2.75,18
95,1079,8.5,127
950,1123,10.5,107
951E,750,1.5,500
95B,85,6.75,13
96,1031,5.25,196
960,1110,9,123
960e,1075,27.5,39
961,1110,9.25,120
961C,0,11.75,0
962,1109,7,158
962B,199,13.75,14
962C,86,2,43
963,1105,7.5,147
963e,800,5,160
963R,0,31.5,0
964,1043,4.25,245
965,1110,7.75,143
965A,73,2,37
966,1094,8.75,125
969,1107,5.75,193
969A,50,2,25
96A,151,2.75,55
96B,156,2.75,57
97,1095,8.5,129
970,1110,11.75,94
971E,767,1.5,511
972,1110,5.25,211
972A,0,3.75,0
